order_number,order_key,store,order_type,status,ordered_day,shipped_day,pnl_day,warehouse,carrier,units,packages,shipping_cost,pick_pack_cost,packaging_cost,total_cost,cost_status
229846_1,bd4348e6-057e-43a9-a77a-c2c4a598e010,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-06-04,2026-08-18,,NV3,Cirro,1,1,5.35,1.58,0.3,7.23,shipmonk_estimate
235730_1,829172ff-4c43-4bbb-9327-9ca68bdf6d6e,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-07-08,2026-08-18,,NV3,FedEx,2,2,20.03,4.76,0.0,24.79,shipmonk_estimate
236259_1,b6ce16fb-9717-45bb-a8c8-1b3e98f620ad,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-07-09,2026-08-18,,NV3,OnTrac,3,1,14.0,2.54,0.0,16.54,shipmonk_estimate
241945_1,df281bf7-6795-4a5b-a6f9-8cb82951a8e7,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-07-30,2026-08-07,,PA2,OnTrac,1,1,11.61,3.82,0.0,15.43,shipmonk_estimate
242674_1,de73b805-0d71-489e-b55e-1aace2343b26,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-01,2026-08-07,,PA2,FedEx,3,1,18.91,2.54,0.0,21.45,shipmonk_estimate
242677_1,b809e1de-be5a-470c-9334-7e00e87ec730,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-01,2026-08-07,,NV3,Cirro,1,1,11.97,1.58,0.0,13.55,shipmonk_estimate
242713_1,170dbbb2-71f4-49a8-9426-9667507145d1,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-01,2026-08-06,,NV3,UPS,1,1,17.99,2.86,0.0,20.85,shipmonk_estimate
242746_1,37bb2b53-7e09-42d8-bef5-496ae0e06a09,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,UPS,1,1,22.94,3.82,0.0,26.76,shipmonk_estimate
242784_1,a162da8d-1481-436d-b1fe-314398cc558f,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,NV3,OnTrac,1,1,13.37,3.82,0.0,17.19,shipmonk_estimate
242788_1,438cd337-e72b-44b6-a09e-0dd93031e2cb,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,OnTrac,1,1,10.26,3.82,0.0,14.08,shipmonk_estimate
242800_1,547ddd9e-9d69-4372-9d74-5f11c4f8f71b,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,NV3,FedEx,2,1,20.67,2.22,0.0,22.89,shipmonk_estimate
242824_1,37b68206-0e9e-4671-9ea5-bd346358a36d,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,NV3,OnTrac,1,1,14.99,3.82,0.0,18.81,shipmonk_estimate
242827_1,dddb9f25-bbaf-4522-bf67-ea6cb9d2c553,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,UPS,1,1,22.94,3.82,0.0,26.76,shipmonk_estimate
242835_1,7d3df462-ce9f-42b3-b6ce-38aa0135e814,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,FedEx,2,1,12.49,2.22,0.0,14.71,shipmonk_estimate
242855_1,0bc9e3dc-7dd3-4375-9425-5aa1e0890bd2,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,OnTrac,1,1,12.49,3.82,0.0,16.31,shipmonk_estimate
242857_1,30f0b4f3-6deb-4d69-b851-c0cfc01a344c,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,PA2,OnTrac,2,1,19.84,2.22,0.0,22.06,shipmonk_estimate
242863_1,755d8990-06b4-406e-9302-195c5ecb7bbc,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,OnTrac,2,1,109.04,2.22,0.0,111.26,shipmonk_estimate
242888_1,e84635d8-2ca4-491a-9b28-b279cc680b10,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,FedEx,1,1,12.74,3.82,0.0,16.56,shipmonk_estimate
242939_1,0061d49b-8e9e-4421-b041-0c52c5d54bb3,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,NV3,OnTrac,1,1,13.37,3.82,0.0,17.19,shipmonk_estimate
242976_1,c18c5255-820f-48ce-b32f-529f2cbb0b22,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,NV3,FedEx,1,1,23.44,7.88,0.0,31.32,shipmonk_estimate
242977_1,1603813b-da28-4753-a72b-c65291830e59,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,NV3,OnTrac,1,1,0.0,3.82,0.0,3.82,shipmonk_estimate
242983_1,4b647a5d-ad0c-4101-9186-7b0e374d8a67,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-10,,PA2,UPS,1,1,22.94,3.82,0.0,26.76,shipmonk_estimate
242994_1,904da89f-4570-4e26-875e-6633903a3a97,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,PA2,SpeedX,1,1,9.22,1.58,0.0,10.8,shipmonk_estimate
243004_1,98c0bb4f-fe76-4061-b250-7b856fabd409,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,FedEx,3,1,17.15,2.54,0.0,19.69,shipmonk_estimate
243013_1,8a86614e-020f-4d6f-9e81-1b6b7f51ef4a,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,PA2,FedEx,2,1,18.91,2.22,0.0,21.13,shipmonk_estimate
243014_1,9573f7a8-cbaf-4370-9b50-12f16ddd6497,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,Cirro,1,1,6.31,4.46,0.3,11.07,shipmonk_estimate
243014_2,281fb3b7-de3f-445a-b866-2b3639edcf21,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-10,,PA2,Cirro,1,1,8.02,1.58,0.0,9.6,shipmonk_estimate
243038_1,9ccb0ab9-184f-44ca-98e0-dd850ed65991,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,PA2,OnTrac,1,1,9.52,1.58,0.0,11.1,shipmonk_estimate
243041_1,cf1267f1-5cd9-4c1d-991a-1de19b4bbab1,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,UPS,3,1,21.65,2.54,0.0,24.19,shipmonk_estimate
243057_1,2153586e-b136-42e2-b369-4d017b9325c9,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-07,,PA2,OnTrac,2,1,12.47,2.22,0.0,14.69,shipmonk_estimate
243060_1,16f50b1f-4325-4244-aca7-4b047401a663,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-02,2026-08-06,,PA2,DHL eCommerce,1,1,9.64,1.58,0.0,11.22,shipmonk_estimate
243121_1,bc48108d-8d66-41ad-8d26-9338d8824b2a,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-03,2026-08-07,,PA2,OnTrac,1,1,12.17,1.9,0.0,14.07,shipmonk_estimate
243148_1,2912be45-9e3e-4b3e-a1be-718f6f91cdb3,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-03,2026-08-07,,PA2,OnTrac,1,1,15.13,1.9,0.0,17.03,shipmonk_estimate
243180_1,1a1e5f34-49c2-430b-8262-bfe313cfd13d,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-03,2026-08-07,,NV3,SpeedX,1,1,10.63,1.58,0.0,12.21,shipmonk_estimate
243222_1,66ba4530-6627-412c-97f9-177ff2000630,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-03,2026-08-07,,PA2,OnTrac,1,1,15.24,3.82,0.0,19.06,shipmonk_estimate
243227_1,6486ace1-92e2-47ee-8603-c8fed8d7eddf,Cattasaurus - shoproxstore - Shopify,direct_to_consumer,fulfilled,2026-08-03,2026-08-07,,PA2,UPS,3,1,22.04,2.54,0.0,24.58,shipmonk_estimate
