order_number,order_key,store,order_type,status,ordered_day,shipped_day,pnl_day,warehouse,carrier,units,packages,shipping_cost,pick_pack_cost,packaging_cost,total_cost,cost_status,cost_currency
111-1249850-9659454,111-1249850-9659454,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-02,2025-12-01,PA2,OnTrac,1,1,23.0,2.1,0.0,25.1,shipmonk_estimate,USD
111-2014542-7861037,111-2014542-7861037,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-02,2025-12-01,PA2,OnTrac,1,1,13.39,2.1,0.0,15.49,shipmonk_estimate,USD
111-3055907-7219408,111-3055907-7219408,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-02,2025-12-01,PA2,FedEx,1,1,17.26,2.1,0.0,19.36,shipmonk_estimate,USD
111-3990303-4529818,111-3990303-4529818,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-04,2025-12-01,PA2,OnTrac,1,1,14.21,1.8,0.0,16.01,shipmonk_estimate,USD
111-4643321-6541822,111-4643321-6541822,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-02,2025-12-01,PA2,OnTrac,1,1,13.39,2.1,0.0,15.49,shipmonk_estimate,USD
111-5245597-6392245,111-5245597-6392245,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-02,2025-12-01,PA2,FedEx,1,1,18.89,2.1,0.0,20.99,shipmonk_estimate,USD
111-7544227-9528237,111-7544227-9528237,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-04,2025-12-01,PA2,UPS,1,1,18.11,1.8,0.0,19.91,shipmonk_estimate,USD
111-8049132-9312269,111-8049132-9312269,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-04,2025-12-01,PA2,UPS,1,1,18.11,2.1,0.0,20.21,shipmonk_estimate,USD
111-8144815-4787409,111-8144815-4787409,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-03,2025-12-01,NV3,FedEx,1,1,17.26,1.8,0.0,19.06,shipmonk_estimate,USD
111-8815289-3981050,111-8815289-3981050,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-04,2025-12-01,PA2,UPS,1,1,18.97,2.4,0.0,21.37,shipmonk_estimate,USD
111-9571425-4259406,111-9571425-4259406,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-04,2025-12-01,PA2,FedEx,1,1,16.55,2.4,0.0,18.95,shipmonk_estimate,USD
112-0045975-0137014,112-0045975-0137014,Cattasaurus - Amazon USA,direct_to_consumer,fulfilled,2025-12-01,2025-12-04,2025-12-01,PA2,OnTrac,1,1,13.29,1.8,0.0,15.09,shipmonk_estimate,USD
